date,code,open,high,low,close,volume,money,open_interest
2022-07-22 10:30:00,IM2208.CCFX,7050.0,7085.2,6985.0,7048.0,7701.0,10834341920.0,6622.0
2022-07-22 11:30:00,IM2208.CCFX,7047.8,7047.8,6924.2,6940.2,4316.0,6043299160.0,10239.0
2022-07-22 14:00:00,IM2208.CCFX,6939.8,6973.8,6857.0,6911.2,5609.0,7763141280.0,14256.0
2022-07-22 15:00:00,IM2208.CCFX,6911.8,6980.0,6883.2,6956.6,4533.0,6286654280.0,17517.0
2022-07-25 10:30:00,IM2208.CCFX,6974.2,7015.8,6938.0,6971.8,8392.0,11711208960.0,15702.0
2022-07-25 11:30:00,IM2208.CCFX,6970.6,6977.6,6883.0,6886.8,3985.0,5533100800.0,15700.0
2022-07-25 14:00:00,IM2208.CCFX,6886.6,6898.0,6850.0,6874.2,5793.0,7964707400.0,17327.0
2022-07-25 15:00:00,IM2208.CCFX,6874.4,6912.4,6860.4,6878.6,4713.0,6490687600.0,18747.0
2022-07-26 10:30:00,IM2208.CCFX,6898.0,6944.8,6844.8,6930.8,7548.0,10404817680.0,18194.0
2022-07-26 11:30:00,IM2208.CCFX,6931.0,6994.0,6917.2,6969.0,5384.0,7488380800.0,18711.0
2022-07-26 14:00:00,IM2208.CCFX,6966.0,6974.2,6930.6,6947.2,2866.0,3984095120.0,19290.0
2022-07-26 15:00:00,IM2208.CCFX,6947.2,6991.6,6939.4,6991.0,3472.0,4836102840.0,20385.0
2022-07-27 10:30:00,IM2208.CCFX,6982.0,7046.6,6965.2,7027.2,6445.0,9021756520.0,18604.0
2022-07-27 11:30:00,IM2208.CCFX,7027.0,7043.2,7014.8,7023.4,3350.0,4708555040.0,18474.0
2022-07-27 14:00:00,IM2208.CCFX,7024.8,7056.8,7012.0,7056.4,4018.0,5650650120.0,19155.0
2022-07-27 15:00:00,IM2208.CCFX,7057.0,7074.4,7047.2,7066.2,5478.0,7734432680.0,21390.0
2022-07-28 10:30:00,IM2208.CCFX,7110.0,7152.2,7072.4,7143.2,8911.0,12664195000.0,20123.0
2022-07-28 11:30:00,IM2208.CCFX,7142.0,7171.4,7120.0,7124.8,5757.0,8231323040.0,21450.0
2022-07-28 14:00:00,IM2208.CCFX,7125.8,7139.4,7101.0,7126.4,3807.0,5423894520.0,22981.0
2022-07-28 15:00:00,IM2208.CCFX,7125.2,7128.2,7095.0,7119.0,3990.0,5675824440.0,24584.0
2022-07-29 10:30:00,IM2208.CCFX,7130.0,7152.0,7076.2,7078.0,10313.0,14692791760.0,22277.0
2022-07-29 11:30:00,IM2208.CCFX,7078.0,7119.4,7073.6,7084.0,4846.0,6875182360.0,22492.0
2022-07-29 14:00:00,IM2208.CCFX,7084.0,7119.0,7068.0,7102.2,4585.0,6503391520.0,23952.0
2022-07-29 15:00:00,IM2208.CCFX,7101.4,7108.0,7075.0,7087.0,5283.0,7491613240.0,25557.0
2022-08-01 10:30:00,IM2208.CCFX,7070.2,7124.4,7004.4,7118.4,9998.0,14122232040.0,22075.0
2022-08-01 11:30:00,IM2208.CCFX,7115.0,7121.0,7074.2,7110.2,4131.0,5866280760.0,21933.0
2022-08-01 14:00:00,IM2208.CCFX,7109.6,7126.4,7081.6,7119.4,4069.0,5779963600.0,22610.0
2022-08-01 15:00:00,IM2208.CCFX,7119.8,7141.0,7109.2,7136.6,3888.0,5544297400.0,24149.0
2022-08-02 10:30:00,IM2208.CCFX,7070.0,7075.0,6879.2,6933.8,16588.0,23159828880.0,24356.0
